CMDLINE /home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/bin/python cp_rank_experimenter.py
MEM 0.500000 1729164712.1224
MEM 35.183594 1729164712.2227
MEM 55.121094 1729164712.3229
MEM 102.121094 1729164712.4232
MEM 246.371094 1729164712.5234
MEM 285.496094 1729164712.6237
MEM 335.398438 1729164712.7238
MEM 346.023438 1729164712.8242
MEM 354.773438 1729164712.9244
MEM 364.398438 1729164713.0246
MEM 374.773438 1729164713.1248
MEM 423.023438 1729164713.2251
MEM 441.148438 1729164713.3254
MEM 460.273438 1729164713.4257
MEM 485.894531 1729164713.5259
MEM 502.019531 1729164713.6263
MEM 516.394531 1729164713.7265
MEM 540.144531 1729164713.8268
MEM 543.769531 1729164713.9271
MEM 543.769531 1729164714.0273
MEM 543.769531 1729164714.1277
MEM 543.769531 1729164714.2280
MEM 543.769531 1729164714.3282
MEM 543.769531 1729164714.4285
MEM 543.769531 1729164714.5289
MEM 543.769531 1729164714.6293
MEM 543.769531 1729164714.7296
MEM 543.769531 1729164714.8299
MEM 543.769531 1729164714.9303
MEM 546.394531 1729164715.0311
MEM 546.394531 1729164715.1319
MEM 546.394531 1729164715.2325
MEM 546.394531 1729164715.3333
MEM 546.394531 1729164715.4344
MEM 546.394531 1729164715.5352
MEM 546.394531 1729164715.6358
MEM 546.394531 1729164715.7366
MEM 546.394531 1729164715.8374
MEM 546.394531 1729164715.9382
MEM 546.394531 1729164716.0392
MEM 546.394531 1729164716.1400
MEM 546.394531 1729164716.2406
MEM 546.394531 1729164716.3412
MEM 546.394531 1729164716.4418
MEM 546.394531 1729164716.5427
MEM 546.394531 1729164716.6438
MEM 546.394531 1729164716.7449
MEM 546.394531 1729164716.8461
MEM 546.394531 1729164716.9472
MEM 546.394531 1729164717.0481
MEM 546.394531 1729164717.1489
MEM 546.394531 1729164717.2497
MEM 546.394531 1729164717.3504
MEM 546.394531 1729164717.4512
MEM 546.394531 1729164717.5518
MEM 546.394531 1729164717.6527
MEM 546.394531 1729164717.7535
MEM 546.394531 1729164717.8541
MEM 546.394531 1729164717.9548
MEM 546.894531 1729164718.0556
MEM 557.769531 1729164718.1558
MEM 580.269531 1729164718.2563
MEM 600.519531 1729164718.3566
MEM 629.644531 1729164718.4569
MEM 642.019531 1729164718.5573
MEM 647.769531 1729164718.6575
MEM 647.769531 1729164718.7578
MEM 647.769531 1729164718.8583
MEM 647.769531 1729164718.9586
MEM 647.769531 1729164719.0587
MEM 647.769531 1729164719.1589
MEM 647.769531 1729164719.2591
MEM 647.769531 1729164719.3594
MEM 647.769531 1729164719.4598
MEM 647.769531 1729164719.5601
MEM 647.769531 1729164719.6605
MEM 647.769531 1729164719.7608
MEM 647.769531 1729164719.8612
MEM 647.769531 1729164719.9614
MEM 647.769531 1729164720.0617
MEM 647.769531 1729164720.1621
MEM 647.769531 1729164720.2624
MEM 647.769531 1729164720.3627
MEM 647.769531 1729164720.4631
MEM 647.769531 1729164720.5634
MEM 647.769531 1729164720.6637
MEM 647.769531 1729164720.7641
MEM 647.769531 1729164720.8643
MEM 647.769531 1729164720.9645
MEM 647.769531 1729164721.0649
MEM 647.769531 1729164721.1652
MEM 647.769531 1729164721.2656
MEM 647.769531 1729164721.3658
MEM 647.769531 1729164721.4662
MEM 647.769531 1729164721.5664
MEM 647.769531 1729164721.6668
MEM 647.769531 1729164721.7671
MEM 647.769531 1729164721.8675
MEM 647.769531 1729164721.9677
MEM 647.769531 1729164722.0680
MEM 647.769531 1729164722.1684
MEM 647.769531 1729164722.2686
MEM 647.769531 1729164722.3690
MEM 647.769531 1729164722.4693
MEM 647.769531 1729164722.5697
MEM 647.769531 1729164722.6701
MEM 647.769531 1729164722.7704
MEM 647.769531 1729164722.8706
MEM 647.769531 1729164722.9709
MEM 647.769531 1729164723.0712
MEM 647.769531 1729164723.1716
MEM 647.769531 1729164723.2720
MEM 647.769531 1729164723.3722
MEM 647.769531 1729164723.4724
MEM 647.769531 1729164723.5728
MEM 647.769531 1729164723.6731
MEM 647.769531 1729164723.7734
MEM 647.769531 1729164723.8737
MEM 647.769531 1729164723.9740
MEM 647.769531 1729164724.0743
MEM 647.769531 1729164724.1747
MEM 647.769531 1729164724.2750
MEM 647.769531 1729164724.3754
MEM 647.769531 1729164724.4757
MEM 647.769531 1729164724.5761
MEM 647.769531 1729164724.6765
MEM 647.769531 1729164724.7768
MEM 647.769531 1729164724.8772
MEM 647.769531 1729164724.9775
MEM 647.769531 1729164725.0779
MEM 647.769531 1729164725.1782
MEM 647.769531 1729164725.2785
MEM 647.769531 1729164725.3789
MEM 647.769531 1729164725.4793
MEM 647.769531 1729164725.5796
MEM 647.769531 1729164725.6800
MEM 647.769531 1729164725.7803
MEM 647.769531 1729164725.8807
MEM 647.769531 1729164725.9809
MEM 647.769531 1729164726.0813
MEM 647.894531 1729164726.1817
MEM 647.894531 1729164726.2821
MEM 647.894531 1729164726.3825
MEM 647.894531 1729164726.4828
MEM 647.894531 1729164726.5832
MEM 647.894531 1729164726.6835
MEM 647.894531 1729164726.7839
MEM 648.394531 1729164726.8843
MEM 648.519531 1729164726.9848
MEM 648.519531 1729164727.0852
MEM 648.644531 1729164727.1856
MEM 648.644531 1729164727.2861
MEM 648.519531 1729164727.3865
MEM 683.257812 1729164727.4868
