CMDLINE /home/jonas/Documents/Research/dyad_ranking/torch_plnet/.venv/bin/python cp_rank_experimenter.py
MEM 0.500000 1729165375.0849
MEM 30.804688 1729165375.1852
MEM 45.855469 1729165375.2855
MEM 63.230469 1729165375.3858
MEM 145.105469 1729165375.4861
MEM 244.480469 1729165375.5865
MEM 264.980469 1729165375.6869
MEM 317.855469 1729165375.7871
MEM 335.933594 1729165375.8874
MEM 345.308594 1729165375.9877
MEM 353.683594 1729165376.0879
MEM 356.808594 1729165376.1883
MEM 364.433594 1729165376.2887
MEM 367.933594 1729165376.3892
MEM 375.558594 1729165376.4895
MEM 422.558594 1729165376.5897
MEM 440.933594 1729165376.6900
MEM 454.433594 1729165376.7903
MEM 468.824219 1729165376.8906
MEM 487.824219 1729165376.9908
MEM 501.324219 1729165377.0910
MEM 516.324219 1729165377.1913
MEM 529.574219 1729165377.2916
MEM 543.824219 1729165377.3919
MEM 543.824219 1729165377.4923
MEM 543.824219 1729165377.5927
MEM 543.824219 1729165377.6929
MEM 543.824219 1729165377.7933
MEM 543.824219 1729165377.8936
MEM 543.824219 1729165377.9939
MEM 543.824219 1729165378.0942
MEM 543.824219 1729165378.1947
MEM 543.824219 1729165378.2949
MEM 543.824219 1729165378.3952
MEM 546.449219 1729165378.4954
MEM 546.449219 1729165378.5958
MEM 546.449219 1729165378.6963
MEM 546.449219 1729165378.7968
MEM 546.449219 1729165378.8974
MEM 546.449219 1729165378.9979
MEM 546.449219 1729165379.0983
MEM 546.449219 1729165379.1986
MEM 546.449219 1729165379.2992
MEM 546.449219 1729165379.3995
MEM 546.449219 1729165379.5001
MEM 546.449219 1729165379.6007
MEM 546.449219 1729165379.7011
MEM 546.449219 1729165379.8015
MEM 546.449219 1729165379.9021
MEM 546.449219 1729165380.0027
MEM 546.449219 1729165380.1034
MEM 546.449219 1729165380.2042
MEM 546.449219 1729165380.3049
MEM 546.449219 1729165380.4054
MEM 546.449219 1729165380.5059
MEM 546.449219 1729165380.6065
MEM 546.449219 1729165380.7070
MEM 546.449219 1729165380.8077
MEM 546.449219 1729165380.9080
MEM 546.449219 1729165381.0084
MEM 546.449219 1729165381.1088
MEM 546.449219 1729165381.2096
MEM 546.449219 1729165381.3100
MEM 546.449219 1729165381.4106
MEM 546.699219 1729165381.5110
MEM 546.824219 1729165381.6114
MEM 570.199219 1729165381.7118
MEM 585.449219 1729165381.8121
MEM 593.824219 1729165381.9125
MEM 609.949219 1729165382.0129
MEM 630.324219 1729165382.1133
MEM 652.382812 1729165382.2138
MEM 652.632812 1729165382.3142
MEM 653.132812 1729165382.4146
MEM 662.632812 1729165382.5149
MEM 673.632812 1729165382.6153
MEM 697.882812 1729165382.7156
MEM 701.007812 1729165382.8160
MEM 707.007812 1729165382.9164
MEM 707.007812 1729165383.0169
MEM 707.007812 1729165383.1172
MEM 707.007812 1729165383.2176
MEM 707.007812 1729165383.3180
MEM 707.007812 1729165383.4183
MEM 707.007812 1729165383.5187
MEM 707.007812 1729165383.6190
MEM 707.007812 1729165383.7193
MEM 707.007812 1729165383.8196
MEM 707.007812 1729165383.9199
MEM 707.007812 1729165384.0202
MEM 707.007812 1729165384.1206
MEM 707.007812 1729165384.2210
MEM 707.007812 1729165384.3215
MEM 707.007812 1729165384.4219
MEM 707.007812 1729165384.5223
MEM 707.007812 1729165384.6228
MEM 707.007812 1729165384.7230
MEM 707.007812 1729165384.8233
MEM 707.007812 1729165384.9236
MEM 707.007812 1729165385.0239
MEM 707.007812 1729165385.1242
MEM 707.007812 1729165385.2246
MEM 707.007812 1729165385.3249
MEM 707.007812 1729165385.4252
MEM 707.007812 1729165385.5255
MEM 707.007812 1729165385.6259
MEM 707.007812 1729165385.7262
MEM 707.007812 1729165385.8266
MEM 707.007812 1729165385.9268
MEM 707.007812 1729165386.0270
MEM 707.007812 1729165386.1272
MEM 707.007812 1729165386.2275
MEM 707.007812 1729165386.3279
MEM 707.007812 1729165386.4282
MEM 707.007812 1729165386.5285
MEM 707.007812 1729165386.6289
MEM 707.007812 1729165386.7293
MEM 707.007812 1729165386.8297
MEM 707.007812 1729165386.9299
MEM 707.007812 1729165387.0303
MEM 707.007812 1729165387.1306
MEM 707.007812 1729165387.2309
MEM 707.007812 1729165387.3312
MEM 707.007812 1729165387.4315
MEM 707.007812 1729165387.5318
MEM 707.007812 1729165387.6321
MEM 707.007812 1729165387.7324
MEM 707.007812 1729165387.8326
MEM 707.007812 1729165387.9330
MEM 707.007812 1729165388.0334
MEM 707.007812 1729165388.1337
MEM 707.007812 1729165388.2340
MEM 707.007812 1729165388.3344
MEM 707.007812 1729165388.4346
MEM 707.007812 1729165388.5349
MEM 707.007812 1729165388.6351
MEM 707.007812 1729165388.7355
MEM 707.007812 1729165388.8358
MEM 707.007812 1729165388.9361
MEM 707.007812 1729165389.0365
MEM 707.007812 1729165389.1367
MEM 707.007812 1729165389.2370
MEM 707.007812 1729165389.3373
MEM 707.007812 1729165389.4377
MEM 707.007812 1729165389.5380
MEM 707.007812 1729165389.6383
MEM 707.007812 1729165389.7386
MEM 707.007812 1729165389.8389
MEM 707.007812 1729165389.9392
MEM 707.007812 1729165390.0394
MEM 707.007812 1729165390.1398
MEM 707.007812 1729165390.2403
MEM 707.007812 1729165390.3407
MEM 707.007812 1729165390.4412
MEM 707.007812 1729165390.5416
MEM 707.007812 1729165390.6421
MEM 707.007812 1729165390.7426
MEM 707.007812 1729165390.8433
MEM 707.007812 1729165390.9439
MEM 707.007812 1729165391.0445
MEM 707.007812 1729165391.1450
MEM 707.007812 1729165391.2456
MEM 707.007812 1729165391.3461
MEM 707.007812 1729165391.4466
MEM 707.007812 1729165391.5469
MEM 707.007812 1729165391.6473
MEM 707.007812 1729165391.7478
MEM 707.007812 1729165391.8483
MEM 707.007812 1729165391.9488
MEM 707.007812 1729165392.0492
MEM 707.007812 1729165392.1497
MEM 707.007812 1729165392.2502
MEM 707.007812 1729165392.3506
MEM 707.007812 1729165392.4511
MEM 707.007812 1729165392.5514
MEM 707.007812 1729165392.6517
MEM 707.007812 1729165392.7521
MEM 707.007812 1729165392.8525
MEM 707.007812 1729165392.9529
MEM 707.007812 1729165393.0534
MEM 707.007812 1729165393.1538
MEM 707.007812 1729165393.2541
MEM 707.007812 1729165393.3545
MEM 707.007812 1729165393.4548
MEM 707.007812 1729165393.5551
MEM 707.007812 1729165393.6555
MEM 707.007812 1729165393.7559
MEM 707.007812 1729165393.8564
MEM 707.007812 1729165393.9572
MEM 707.007812 1729165394.0581
MEM 707.007812 1729165394.1591
MEM 707.007812 1729165394.2603
MEM 707.007812 1729165394.3613
MEM 707.007812 1729165394.4619
MEM 707.007812 1729165394.5624
MEM 707.007812 1729165394.6635
MEM 707.007812 1729165394.7647
MEM 707.007812 1729165394.8658
MEM 707.007812 1729165394.9668
MEM 707.007812 1729165395.0679
MEM 707.007812 1729165395.1689
MEM 707.007812 1729165395.2699
MEM 707.007812 1729165395.3711
MEM 707.007812 1729165395.4721
MEM 707.007812 1729165395.5727
MEM 707.007812 1729165395.6733
MEM 707.007812 1729165395.7743
MEM 707.007812 1729165395.8751
MEM 707.007812 1729165395.9762
MEM 707.007812 1729165396.0772
MEM 707.007812 1729165396.1780
MEM 707.007812 1729165396.2785
MEM 707.007812 1729165396.3790
MEM 707.007812 1729165396.4797
MEM 707.007812 1729165396.5802
MEM 707.007812 1729165396.6809
MEM 707.007812 1729165396.7817
MEM 707.007812 1729165396.8831
MEM 707.007812 1729165396.9842
MEM 707.007812 1729165397.0855
MEM 707.007812 1729165397.1866
MEM 707.007812 1729165397.2876
MEM 707.007812 1729165397.3888
MEM 707.007812 1729165397.4907
MEM 707.007812 1729165397.5921
MEM 707.007812 1729165397.6933
MEM 707.007812 1729165397.7944
MEM 707.007812 1729165397.8954
MEM 707.007812 1729165397.9964
MEM 707.007812 1729165398.0975
MEM 707.007812 1729165398.1985
MEM 707.007812 1729165398.2996
MEM 707.007812 1729165398.4008
MEM 707.007812 1729165398.5020
MEM 707.007812 1729165398.6032
MEM 707.007812 1729165398.7042
MEM 707.007812 1729165398.8052
MEM 707.007812 1729165398.9061
MEM 707.007812 1729165399.0071
MEM 707.007812 1729165399.1080
MEM 707.007812 1729165399.2087
MEM 707.007812 1729165399.3097
MEM 707.007812 1729165399.4101
MEM 707.007812 1729165399.5111
MEM 707.007812 1729165399.6121
MEM 707.007812 1729165399.7132
MEM 707.007812 1729165399.8142
MEM 707.007812 1729165399.9152
MEM 707.007812 1729165400.0163
MEM 707.007812 1729165400.1173
MEM 707.007812 1729165400.2180
MEM 707.007812 1729165400.3187
MEM 707.007812 1729165400.4199
MEM 707.007812 1729165400.5208
MEM 707.007812 1729165400.6215
MEM 707.007812 1729165400.7224
MEM 707.007812 1729165400.8233
MEM 707.007812 1729165400.9240
MEM 707.007812 1729165401.0248
MEM 707.007812 1729165401.1254
MEM 707.007812 1729165401.2262
MEM 707.007812 1729165401.3274
MEM 707.007812 1729165401.4285
MEM 707.007812 1729165401.5291
MEM 707.007812 1729165401.6326
MEM 707.007812 1729165401.7332
MEM 707.007812 1729165401.8341
MEM 707.007812 1729165401.9347
MEM 707.007812 1729165402.0352
MEM 707.007812 1729165402.1365
MEM 707.007812 1729165402.2376
MEM 707.007812 1729165402.3388
MEM 707.007812 1729165402.4399
MEM 707.007812 1729165402.5409
MEM 707.007812 1729165402.6417
MEM 707.007812 1729165402.7426
MEM 707.007812 1729165402.8435
MEM 707.007812 1729165402.9443
MEM 707.007812 1729165403.0451
MEM 707.007812 1729165403.1458
MEM 707.007812 1729165403.2465
MEM 707.007812 1729165403.3471
MEM 707.007812 1729165403.4476
MEM 707.007812 1729165403.5481
MEM 707.007812 1729165403.6486
MEM 707.007812 1729165403.7491
MEM 707.007812 1729165403.8495
MEM 707.007812 1729165403.9499
MEM 707.007812 1729165404.0504
MEM 707.007812 1729165404.1509
MEM 707.007812 1729165404.2513
MEM 707.007812 1729165404.3517
MEM 707.007812 1729165404.4521
MEM 707.007812 1729165404.5525
MEM 707.007812 1729165404.6530
MEM 707.007812 1729165404.7533
MEM 707.007812 1729165404.8536
MEM 707.007812 1729165404.9540
MEM 707.007812 1729165405.0543
MEM 707.007812 1729165405.1548
MEM 707.007812 1729165405.2551
MEM 707.007812 1729165405.3554
MEM 707.007812 1729165405.4558
MEM 707.007812 1729165405.5562
MEM 707.007812 1729165405.6566
MEM 707.007812 1729165405.7570
MEM 707.007812 1729165405.8574
MEM 707.007812 1729165405.9578
MEM 707.007812 1729165406.0582
MEM 707.007812 1729165406.1586
MEM 707.007812 1729165406.2589
MEM 707.007812 1729165406.3592
MEM 707.007812 1729165406.4595
MEM 707.007812 1729165406.5599
MEM 707.007812 1729165406.6603
MEM 707.007812 1729165406.7607
MEM 707.007812 1729165406.8611
MEM 707.007812 1729165406.9615
MEM 707.007812 1729165407.0618
MEM 707.007812 1729165407.1621
MEM 707.007812 1729165407.2625
MEM 707.007812 1729165407.3628
MEM 707.007812 1729165407.4631
MEM 707.007812 1729165407.5634
MEM 707.007812 1729165407.6637
MEM 707.007812 1729165407.7640
MEM 707.007812 1729165407.8643
MEM 707.007812 1729165407.9646
MEM 707.007812 1729165408.0648
MEM 707.007812 1729165408.1651
MEM 707.007812 1729165408.2653
MEM 707.007812 1729165408.3656
MEM 707.007812 1729165408.4658
MEM 707.007812 1729165408.5661
MEM 707.007812 1729165408.6663
MEM 707.007812 1729165408.7666
MEM 707.007812 1729165408.8668
MEM 707.007812 1729165408.9671
MEM 707.007812 1729165409.0673
MEM 707.007812 1729165409.1676
MEM 707.007812 1729165409.2678
MEM 707.007812 1729165409.3681
MEM 707.007812 1729165409.4683
MEM 707.007812 1729165409.5686
MEM 707.007812 1729165409.6689
MEM 707.007812 1729165409.7691
MEM 707.007812 1729165409.8694
MEM 707.007812 1729165409.9696
MEM 707.007812 1729165410.0699
MEM 707.007812 1729165410.1701
MEM 707.007812 1729165410.2703
MEM 707.007812 1729165410.3706
