,aps,lac,rand_aps,num_inst
0,0.20154297386950695,0.6266666666666668,0.056969696969696976,5
1,0.3191607580121979,0.882828282828283,0.20202020202020204,15
2,0.7806472027387285,0.9179797979797981,0.11191919191919193,26
3,0.8182195504509769,0.9523232323232325,0.2743434343434344,36
4,0.8468072063189921,0.9636363636363638,0.3062626262626263,47
5,0.7924906601697633,0.9616161616161617,0.3721212121212122,57
6,0.767986955140036,0.9781818181818184,0.3272727272727273,68
7,0.8284294275466967,0.9761616161616163,0.2525252525252526,78
8,0.6404410596894268,0.964848484848485,0.1765656565656566,89
9,0.8725360966002058,0.9773737373737376,0.178989898989899,100
10,0.24319927242004333,0.03151515151515152,0.09737373737373739,5
11,0.432694591316601,0.9046464646464647,0.17050505050505052,15
12,0.6765064563623875,0.9256565656565658,0.1955555555555556,26
13,0.8276126373790391,0.9345454545454546,0.2084848484848485,36
14,0.79698300609188,0.9385858585858587,0.3018181818181818,47
15,0.8382309095585876,0.9494949494949495,0.25840994171656995,57
16,0.8043341176007981,0.9628282828282829,0.25373737373737376,68
17,0.8280210324628678,0.9571717171717172,0.1975757575757576,78
18,0.7769716469842693,0.9600000000000002,0.31393939393939396,89
19,0.8202615258701209,0.9600000000000002,0.25939393939393945,100
20,-0.16233704582194325,0.5430303030303031,0.05818181818181819,5
21,0.29343186773098423,0.8917171717171719,0.23272727272727275,15
22,0.7067276925657178,0.9393939393939396,0.15353535353535355,26
23,0.7496091763677405,0.9349494949494952,0.12929292929292932,36
24,0.6069364043737028,0.9353535353535355,0.2703030303030303,47
25,0.7802388076548997,0.9486868686868689,0.27797979797979805,57
26,0.8018837470978254,0.9753535353535355,0.2840404040404041,68
27,0.5979508048473088,0.9442424242424244,0.353939393939394,78
28,0.8504827620734512,0.9644444444444447,0.2173737373737374,89
29,0.8398644898939027,0.9644444444444447,0.3361616161616162,100
30,-0.2587182856055373,0.216969696969697,0.235959595959596,5
31,0.17050494749851902,0.808888888888889,0.1692929292929293,15
32,0.22727186415072057,0.918787878787879,0.1082828282828283,26
33,0.3771528599158858,0.9353535353535355,0.09696969696969698,36
34,0.7933074503374209,0.9503030303030304,0.16363636363636366,47
35,0.8419064653130467,0.958787878787879,0.3418181818181819,57
36,0.6197068384095443,0.9503030303030304,0.332929292929293,68
37,0.7349069533499042,0.9612121212121214,0.3224242424242425,78
38,0.8190363406186345,0.9644444444444447,0.3753535353535354,89
39,0.8063760930199421,0.9632323232323234,0.18020202020202022,100
40,0.019807161565696223,0.8824242424242426,-0.0012121212121212123,5
41,0.23543976582729634,0.8876767676767678,0.178989898989899,15
42,0.7941242405050785,0.9515151515151516,0.2937373737373738,26
43,0.752467941954542,0.9490909090909092,0.3135353535353536,36
44,0.7875899191638178,0.9701010101010104,0.36686868686868696,47
45,0.8888718999533574,0.9705050505050506,0.29010101010101014,57
46,0.8280210324628678,0.947878787878788,0.2145454545454546,68
47,0.8958146163784467,0.9749494949494951,0.20323232323232326,78
48,0.8811123933606104,0.9777777777777779,0.3406060606060607,89
49,0.8713109113487195,0.9777777777777779,0.31474747474747483,100
