timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-08-12T17:20:01,codecarbon,190618a7-fec5-4b64-ad23-0da76f10a917,12.721276522000151,7.28786957019776e-05,5.728882284410791e-06,42.5,0.0,11.6401104927063,0.0001501788120333,0.0,4.112895985793418e-05,0.0001913077718912,Germany,DEU,north rhine-westphalia,,,Linux-6.2.0-26-generic-x86_64-with-glibc2.35,3.11.5,2.6.0,16.0,12th Gen Intel(R) Core(TM) i7-1260P,,,8.7267,51.7178,31.0402946472168,machine,N,1.0
2024-08-12T17:24:55,codecarbon,346d156f-7ded-47ea-bed9-72f609be20f0,249.65848948400023,0.0014302229695226,5.728717547232772e-06,42.5,0.0,11.6401104927063,0.0029472288528298,0.0,0.0008071299069092,0.0037543587597391,Germany,DEU,north rhine-westphalia,,,Linux-6.2.0-26-generic-x86_64-with-glibc2.35,3.11.5,2.6.0,16.0,12th Gen Intel(R) Core(TM) i7-1260P,,,8.7267,51.7178,31.0402946472168,machine,N,1.0
2024-08-12T17:26:41,codecarbon,f94df093-d015-413a-87ac-41d3ac0f8a90,66.04480826700001,0.0003783507884565,5.728698415277986e-06,42.5,0.0,11.6401104927063,0.0007796589900548,0.0,0.0002135180369998,0.0009931770270547,Germany,DEU,north rhine-westphalia,,,Linux-6.2.0-26-generic-x86_64-with-glibc2.35,3.11.5,2.6.0,16.0,12th Gen Intel(R) Core(TM) i7-1260P,,,8.7267,51.7178,31.0402946472168,machine,N,1.0
2024-08-12T17:28:41,codecarbon,8e73c60f-008d-42c8-9792-23e11abc24ec,0.2002807520002534,1.1445421708710555e-06,5.714688802794226e-06,42.5,0.0,11.6401104927063,2.361041694446284e-06,0.0,6.434002818525882e-07,3.0044419762988724e-06,Germany,DEU,north rhine-westphalia,,,Linux-6.2.0-26-generic-x86_64-with-glibc2.35,3.11.5,2.6.0,16.0,12th Gen Intel(R) Core(TM) i7-1260P,,,8.7267,51.7178,31.0402946472168,machine,N,1.0
2024-08-12T17:29:43,codecarbon,f0014382-fa35-4db7-9e12-b2aa202acee5,0.1904890440000599,1.0883767113317035e-06,5.713592175576045e-06,42.5,0.0,11.6401104927063,2.245438140976022e-06,0.0,6.115685825617216e-07,2.857006723537744e-06,Germany,DEU,north rhine-westphalia,,,Linux-6.2.0-26-generic-x86_64-with-glibc2.35,3.11.5,2.6.0,16.0,12th Gen Intel(R) Core(TM) i7-1260P,,,8.7267,51.7178,31.0402946472168,machine,N,1.0
2024-08-13T08:40:17,codecarbon,ee1d0a0e-f379-4bf4-af67-8dfcbb2317eb,0.1795106039999154,1.0255401457114785e-06,5.712978079623426e-06,42.5,0.0,11.6401104927063,2.115928445825451e-06,0.0,5.76131262040354e-07,2.692059707865805e-06,Germany,DEU,,,,Linux-6.2.0-26-generic-x86_64-with-glibc2.35,3.11.5,2.6.0,16.0,12th Gen Intel(R) Core(TM) i7-1260P,,,9.491,51.2993,31.0402946472168,machine,N,1.0
2024-08-13T08:42:29,codecarbon,3acfe374-4985-4214-a39b-d844c665405f,0.1815825559997392,6.479016457830586e-09,3.568083080535494e-08,42.5,0.0,11.6401104927063,2.14107896597208e-06,0.0,5.843819307940882e-07,2.725460896766168e-06,Canada,CAN,quebec,,,Linux-6.2.0-26-generic-x86_64-with-glibc2.35,3.11.5,2.6.0,16.0,12th Gen Intel(R) Core(TM) i7-1260P,,,-71.2,46.8,31.0402946472168,machine,N,1.0
2024-08-13T08:58:00,codecarbon,950c65bd-608c-4d17-acfb-bee023bed40e,0.1696151749993077,9.697545978493398e-07,5.717381111998366e-06,42.5,0.0,11.6401104927063,1.999458222917383e-06,0.0,5.461635065729431e-07,2.5456217294903264e-06,Germany,DEU,,,,Linux-6.2.0-26-generic-x86_64-with-glibc2.35,3.11.5,2.6.0,16.0,12th Gen Intel(R) Core(TM) i7-1260P,,,9.491,51.2993,31.0402946472168,machine,N,1.0
2024-08-13T08:59:09,codecarbon,8d67bbb9-0c11-485f-b1d8-1fee07ff8d74,0.074926977999894,2.660577436475918e-09,3.550893826893274e-08,42.5,0.0,11.6401104927063,8.806906902735692e-07,0.0,2.385069245387091e-07,1.1191976148122782e-06,Canada,CAN,quebec,,,Linux-6.2.0-26-generic-x86_64-with-glibc2.35,3.11.5,2.6.0,16.0,12th Gen Intel(R) Core(TM) i7-1260P,,,-71.2,46.8,31.0402946472168,machine,N,1.0
2024-08-13T09:08:42,codecarbon,98634b27-ffac-4c92-b347-c185281c5b2a,0.1779431220002152,1.0171558212147308e-06,5.716185092073975e-06,42.5,0.0,11.6401104927063,2.097664956252427e-06,0.0,5.72385762253232e-07,2.670050718505659e-06,Germany,DEU,,,,Linux-6.2.0-26-generic-x86_64-with-glibc2.35,3.11.5,2.6.0,16.0,12th Gen Intel(R) Core(TM) i7-1260P,,,9.491,51.2993,31.0402946472168,machine,N,1.0
